,EURUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,EURUSD_i,1.21906,1.22354,1.21906,1.2238,1.22143,1.2221333333333335,1.222485,1.221365,12669,2020-12-21 16:00:00
1,EURUSD_i,1.22354,1.22427,1.22272,1.22522,1.22397,1.22407,1.2241199999999999,1.2239375,7042,2020-12-21 20:00:00
2,EURUSD_i,1.22427,1.22306,1.22275,1.22491,1.22383,1.2235733333333334,1.2234450000000001,1.2237475,4181,2020-12-22 00:00:00
3,EURUSD_i,1.22306,1.22178,1.22149,1.22347,1.22248,1.2222466666666667,1.22213,1.22245,4317,2020-12-22 04:00:00
4,EURUSD_i,1.22178,1.22064,1.22039,1.22289,1.22164,1.2213066666666668,1.2211400000000001,1.221425,9052,2020-12-22 08:00:00
5,EURUSD_i,1.22068,1.22294,1.22035,1.22565,1.2229999999999999,1.22298,1.22297,1.222405,10705,2020-12-22 12:00:00
6,EURUSD_i,1.22294,1.21736,1.21598,1.22383,1.219905,1.2190566666666667,1.2186325,1.2200275,14032,2020-12-22 16:00:00
7,EURUSD_i,1.21736,1.21605,1.2151399999999999,1.21739,1.216265,1.2161933333333332,1.2161575,1.216485,5210,2020-12-22 20:00:00
8,EURUSD_i,1.21605,1.21765,1.21532,1.21869,1.217005,1.21722,1.2173275,1.2169275,5234,2020-12-23 00:00:00
9,EURUSD_i,1.21765,1.21882,1.21656,1.21913,1.217845,1.21817,1.2183325,1.21804,4288,2020-12-23 04:00:00
10,EURUSD_i,1.21878,1.2193100000000001,1.21713,1.22001,1.2185700000000002,1.2188166666666669,1.2189400000000001,1.2188075,7603,2020-12-23 08:00:00
11,EURUSD_i,1.2193100000000001,1.21753,1.21595,1.21978,1.2178650000000002,1.2177533333333335,1.2176975,1.2181425000000001,9128,2020-12-23 12:00:00
12,EURUSD_i,1.21752,1.2186,1.21731,1.22203,1.2196699999999998,1.2193133333333332,1.2191349999999999,1.2188649999999999,13304,2020-12-23 16:00:00
13,EURUSD_i,1.2186,1.21845,1.21718,1.21955,1.218365,1.2183933333333332,1.2184074999999999,1.218445,5217,2020-12-23 20:00:00
14,EURUSD_i,1.2184,1.22075,1.21813,1.2211400000000001,1.219635,1.2200066666666667,1.2201925,1.219605,3919,2020-12-24 00:00:00
15,EURUSD_i,1.22074,1.22042,1.22012,1.22149,1.220805,1.2206766666666666,1.2206124999999999,1.2206925,3259,2020-12-24 04:00:00
16,EURUSD_i,1.22042,1.2190699999999999,1.21864,1.2209,1.21977,1.2195366666666667,1.21942,1.2197575,5133,2020-12-24 08:00:00
17,EURUSD_i,1.21905,1.21876,1.2185,1.22025,1.2193749999999999,1.2191699999999999,1.2190675,1.21914,4760,2020-12-24 12:00:00
18,EURUSD_i,1.21874,1.21824,1.21765,1.21971,1.21868,1.2185333333333332,1.2184599999999999,1.218585,6147,2020-12-24 16:00:00
19,EURUSD_i,1.21824,1.218,1.2176,1.21849,1.218045,1.21803,1.2180225,1.2180825,1368,2020-12-24 20:00:00
20,EURUSD_i,1.21798,1.22042,1.21798,1.22072,1.21935,1.2197066666666665,1.2198849999999999,1.2192749999999999,5530,2020-12-28 00:00:00
21,EURUSD_i,1.22042,1.22227,1.22036,1.2223,1.22133,1.2216433333333334,1.2218,1.2213375,3435,2020-12-28 04:00:00
22,EURUSD_i,1.22227,1.22483,1.22188,1.22493,1.223405,1.22388,1.2241175,1.2234775,6474,2020-12-28 08:00:00
23,EURUSD_i,1.22481,1.22122,1.2190699999999999,1.22496,1.2220149999999999,1.22175,1.2216174999999998,1.2225149999999998,10186,2020-12-28 12:00:00
24,EURUSD_i,1.22126,1.22054,1.22045,1.22393,1.2221899999999999,1.2216399999999998,1.2213649999999998,1.2215449999999999,9386,2020-12-28 16:00:00
25,EURUSD_i,1.22054,1.22143,1.22017,1.22157,1.2208700000000001,1.2210566666666667,1.22115,1.2209275,4907,2020-12-28 20:00:00
26,EURUSD_i,1.22149,1.22266,1.22037,1.22339,1.22188,1.2221400000000002,1.2222700000000002,1.2219775000000002,4079,2020-12-29 00:00:00
27,EURUSD_i,1.22266,1.22354,1.22237,1.22422,1.223295,1.2233766666666668,1.2234175,1.2231975000000002,4735,2020-12-29 04:00:00
28,EURUSD_i,1.22352,1.22489,1.22349,1.22574,1.224615,1.2247066666666668,1.2247525000000001,1.22441,6894,2020-12-29 08:00:00
29,EURUSD_i,1.2248999999999999,1.22526,1.22384,1.2260900000000001,1.224965,1.2250633333333334,1.2251125,1.2250225000000001,8767,2020-12-29 12:00:00
30,EURUSD_i,1.22528,1.22407,1.22363,1.22743,1.22553,1.2250433333333335,1.2248,1.2251025,11354,2020-12-29 16:00:00
31,EURUSD_i,1.22407,1.22473,1.22356,1.22579,1.224675,1.2246933333333334,1.2247025,1.2245375,5287,2020-12-29 20:00:00
32,EURUSD_i,1.2245,1.229,1.22442,1.2294100000000001,1.226915,1.22761,1.2279575,1.2268325,5466,2020-12-30 00:00:00
33,EURUSD_i,1.22901,1.22842,1.2281,1.2291400000000001,1.22862,1.2285533333333334,1.22852,1.2286675,3893,2020-12-30 04:00:00
34,EURUSD_i,1.22841,1.22677,1.2252,1.22857,1.226885,1.2268466666666666,1.2268275,1.2272375,7876,2020-12-30 08:00:00
35,EURUSD_i,1.22678,1.22905,1.22658,1.22928,1.22793,1.2283033333333333,1.2284899999999999,1.2279225,8993,2020-12-30 12:00:00
36,EURUSD_i,1.22906,1.22878,1.22705,1.23093,1.22899,1.22892,1.228885,1.228955,12809,2020-12-30 16:00:00
37,EURUSD_i,1.22878,1.22947,1.22798,1.23014,1.22906,1.2291966666666667,1.229265,1.2290925000000001,4616,2020-12-30 20:00:00
38,EURUSD_i,1.2295,1.23058,1.22908,1.23083,1.229955,1.2301633333333333,1.2302674999999998,1.2299974999999999,3576,2020-12-31 00:00:00
39,EURUSD_i,1.23058,1.22888,1.22844,1.23083,1.229635,1.2293833333333335,1.2292575000000001,1.2296825,3898,2020-12-31 04:00:00
40,EURUSD_i,1.22888,1.22783,1.22762,1.23032,1.22897,1.2285899999999998,1.2284,1.2286625,8154,2020-12-31 08:00:00
41,EURUSD_i,1.22783,1.22836,1.22587,1.22877,1.22732,1.2276666666666667,1.22784,1.2277075,8923,2020-12-31 12:00:00
42,EURUSD_i,1.22843,1.22242,1.22201,1.22844,1.225225,1.22429,1.2238225,1.225325,11356,2020-12-31 16:00:00
43,EURUSD_i,1.22243,1.22159,1.22142,1.22273,1.222075,1.2219133333333334,1.2218325,1.2220425,1199,2020-12-31 20:00:00
44,EURUSD_i,1.22304,1.22518,1.22293,1.2254800000000001,1.224205,1.22453,1.2246925,1.2241575,6435,2021-01-04 00:00:00
45,EURUSD_i,1.22517,1.22545,1.22408,1.22584,1.22496,1.2251233333333333,1.2252049999999999,1.225135,5162,2021-01-04 04:00:00
46,EURUSD_i,1.22545,1.22925,1.22416,1.22999,1.227075,1.2278,1.2281624999999998,1.2272124999999998,9826,2021-01-04 08:00:00
47,EURUSD_i,1.22926,1.2298,1.22856,1.23053,1.2295449999999999,1.22963,1.2296725,1.2295375,10958,2021-01-04 12:00:00
48,EURUSD_i,1.2298,1.22522,1.22492,1.23087,1.227895,1.2270033333333332,1.2265575,1.2277025,17800,2021-01-04 16:00:00
49,EURUSD_i,1.22522,1.22468,1.22407,1.2256,1.2248350000000001,1.2247833333333336,1.2247575000000002,1.2248925000000002,7436,2021-01-04 20:00:00
50,EURUSD_i,1.22458,1.22563,1.22427,1.22623,1.22525,1.2253766666666666,1.2254399999999999,1.2251775,4519,2021-01-05 00:00:00
51,EURUSD_i,1.22563,1.22715,1.22562,1.22761,1.226615,1.2267933333333334,1.2268824999999999,1.2265025,5416,2021-01-05 04:00:00
52,EURUSD_i,1.22715,1.22714,1.22547,1.22833,1.2269,1.22698,1.22702,1.2270225,10201,2021-01-05 08:00:00
53,EURUSD_i,1.22714,1.22618,1.22598,1.22899,1.2274850000000002,1.2270500000000002,1.2268325000000002,1.2270725000000002,11048,2021-01-05 12:00:00
54,EURUSD_i,1.22621,1.22987,1.22532,1.23047,1.227895,1.2285533333333334,1.2288825,1.2279675,15515,2021-01-05 16:00:00
55,EURUSD_i,1.2298499999999999,1.22952,1.22888,1.23051,1.229695,1.2296366666666667,1.2296075,1.22969,5818,2021-01-05 20:00:00
56,EURUSD_i,1.2294100000000001,1.22885,1.22804,1.23252,1.23028,1.2298033333333334,1.229565,1.229705,8669,2021-01-06 00:00:00
57,EURUSD_i,1.22885,1.22959,1.22748,1.23058,1.2290299999999998,1.2292166666666666,1.22931,1.2291249999999998,9303,2021-01-06 04:00:00
58,EURUSD_i,1.22958,1.23377,1.22958,1.23445,1.232015,1.2326,1.2328925,1.2318449999999999,13610,2021-01-06 08:00:00
59,EURUSD_i,1.23377,1.23187,1.23159,1.23486,1.233225,1.2327733333333333,1.2325475,1.2330225,13390,2021-01-06 12:00:00
