,GER40_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GER40_i,10310.4,10408.8,10306.4,10575.3,10440.849999999999,10430.166666666666,10424.824999999999,10400.224999999999,33063,2020-04-07 08:00:00
1,GER40_i,10408.8,10446.3,10377.3,10489.3,10433.3,10437.633333333333,10439.8,10430.425,34517,2020-04-07 12:00:00
2,GER40_i,10446.8,10343.4,10207.8,10488.3,10348.05,10346.5,10345.725,10371.575,48429,2020-04-07 16:00:00
3,GER40_i,10345.8,10209.9,10205.3,10366.4,10285.849999999999,10260.533333333333,10247.875,10281.849999999999,24275,2020-04-07 20:00:00
4,GER40_i,10189.3,10245.4,10178.8,10320.3,10249.55,10248.166666666666,10247.475,10233.45,31243,2020-04-08 08:00:00
5,GER40_i,10245.4,10293.8,10191.9,10308.3,10250.099999999999,10264.666666666666,10271.949999999999,10259.849999999999,30424,2020-04-08 12:00:00
6,GER40_i,10294.3,10337.4,10199.8,10357.8,10278.8,10298.333333333334,10308.1,10297.325,35684,2020-04-08 16:00:00
7,GER40_i,10337.4,10380.4,10294.3,10401.4,10347.849999999999,10358.699999999999,10364.125,10353.375,16867,2020-04-08 20:00:00
8,GER40_i,10456.3,10411.8,10411.3,10572.8,10492.05,10465.3,10451.925,10463.05,24560,2020-04-09 08:00:00
9,GER40_i,10411.9,10459.4,10298.3,10481.9,10390.099999999999,10413.199999999999,10424.75,10412.875,40863,2020-04-09 12:00:00
10,GER40_i,10459.8,10626.3,10444.8,10644.3,10544.55,10571.8,10585.425,10543.8,47652,2020-04-09 16:00:00
11,GER40_i,10626.3,10665.3,10526.3,10665.3,10595.8,10618.966666666665,10630.55,10620.8,22615,2020-04-09 20:00:00
12,GER40_i,10704.9,10654.6,10650.0,10743.9,10696.95,10682.833333333334,10675.775,10688.35,15132,2020-04-14 08:00:00
13,GER40_i,10655.1,10665.0,10650.0,10728.4,10689.2,10681.133333333333,10677.1,10674.625,17150,2020-04-14 12:00:00
14,GER40_i,10665.0,10722.4,10658.9,10815.9,10737.4,10732.4,10729.9,10715.55,33695,2020-04-14 16:00:00
15,GER40_i,10723.4,10709.5,10685.0,10742.9,10713.95,10712.466666666667,10711.725,10715.2,12099,2020-04-14 20:00:00
16,GER40_i,10643.2,10488.2,10465.7,10687.2,10576.45,10547.033333333335,10532.325,10571.075,26567,2020-04-15 08:00:00
17,GER40_i,10487.7,10304.1,10303.5,10503.7,10403.6,10370.433333333334,10353.85,10399.75,30569,2020-04-15 12:00:00
18,GER40_i,10303.6,10290.7,10229.7,10354.8,10292.25,10291.733333333334,10291.475,10294.7,33281,2020-04-15 16:00:00
19,GER40_i,10291.2,10279.4,10268.9,10347.9,10308.4,10298.733333333332,10293.9,10296.849999999999,15768,2020-04-15 20:00:00
20,GER40_i,10357.6,10391.8,10323.4,10435.6,10379.5,10383.6,10385.65,10377.1,26895,2020-04-16 08:00:00
21,GER40_i,10391.3,10387.3,10332.3,10410.1,10371.2,10376.566666666668,10379.25,10380.25,26696,2020-04-16 12:00:00
22,GER40_i,10387.8,10255.3,10222.3,10394.8,10308.55,10290.8,10281.925,10315.05,36245,2020-04-16 16:00:00
23,GER40_i,10255.3,10265.3,10208.8,10273.3,10241.05,10249.133333333333,10253.175,10250.675,16675,2020-04-16 20:00:00
24,GER40_i,10605.0,10595.7,10564.7,10659.2,10611.95,10606.533333333335,10603.825,10606.150000000001,24214,2020-04-17 08:00:00
25,GER40_i,10595.2,10658.2,10591.2,10751.2,10671.2,10666.866666666667,10664.7,10648.95,29087,2020-04-17 12:00:00
26,GER40_i,10658.2,10642.6,10531.8,10660.2,10596.0,10611.533333333333,10619.3,10623.2,29414,2020-04-17 16:00:00
27,GER40_i,10641.6,10651.5,10595.5,10653.5,10624.5,10633.5,10638.0,10635.525,10630,2020-04-17 20:00:00
28,GER40_i,10695.8,10637.0,10613.5,10706.8,10660.15,10652.433333333332,10648.575,10663.275,20231,2020-04-20 08:00:00
29,GER40_i,10637.5,10491.5,10432.8,10652.0,10542.4,10525.433333333332,10516.95,10553.45,28146,2020-04-20 12:00:00
30,GER40_i,10492.0,10664.7,10475.5,10694.2,10584.85,10611.466666666667,10624.775000000001,10581.6,27245,2020-04-20 16:00:00
31,GER40_i,10664.2,10558.5,10530.8,10665.2,10598.0,10584.833333333334,10578.25,10604.675,14646,2020-04-20 20:00:00
32,GER40_i,10499.3,10458.8,10404.5,10517.0,10460.75,10460.1,10459.775,10469.9,20877,2020-04-21 08:00:00
33,GER40_i,10460.8,10305.0,10295.7,10504.3,10400.0,10368.333333333334,10352.5,10391.45,30227,2020-04-21 12:00:00
34,GER40_i,10305.0,10275.4,10223.0,10424.8,10323.9,10307.733333333332,10299.65,10307.05,35143,2020-04-21 16:00:00
35,GER40_i,10274.9,10292.4,10243.1,10320.4,10281.75,10285.300000000001,10287.075,10282.7,17294,2020-04-21 20:00:00
36,GER40_i,10338.6,10403.7,10319.9,10405.9,10362.9,10376.5,10383.3,10367.025,20853,2020-04-22 08:00:00
37,GER40_i,10404.2,10388.7,10312.2,10409.2,10360.7,10370.033333333335,10374.7,10378.575,20853,2020-04-22 12:00:00
38,GER40_i,10387.2,10396.0,10334.7,10426.5,10380.6,10385.733333333334,10388.3,10386.1,24783,2020-04-22 16:00:00
39,GER40_i,10396.5,10431.7,10386.0,10437.3,10411.65,10418.333333333334,10421.675,10412.875,8333,2020-04-22 20:00:00
40,GER40_i,10470.4,10359.6,10314.1,10489.9,10402.0,10387.866666666667,10380.8,10408.5,20137,2020-04-23 08:00:00
41,GER40_i,10359.1,10426.1,10353.1,10428.6,10390.85,10402.6,10408.475,10391.725,17867,2020-04-23 12:00:00
42,GER40_i,10426.1,10421.1,10365.6,10604.1,10484.85,10463.6,10452.975,10454.225,34329,2020-04-23 16:00:00
43,GER40_i,10421.1,10390.6,10352.6,10460.6,10406.6,10401.266666666668,10398.6,10406.225,17917,2020-04-23 20:00:00
44,GER40_i,10304.0,10333.8,10287.4,10355.2,10321.3,10325.466666666665,10327.55,10320.099999999999,20043,2020-04-24 08:00:00
45,GER40_i,10334.2,10460.2,10333.0,10481.3,10407.15,10424.833333333334,10433.675,10402.175,22353,2020-04-24 12:00:00
46,GER40_i,10459.8,10375.5,10321.0,10475.0,10398.0,10390.5,10386.75,10407.825,25339,2020-04-24 16:00:00
47,GER40_i,10375.5,10440.8,10362.3,10443.0,10402.65,10415.366666666667,10421.724999999999,10405.4,9025,2020-04-24 20:00:00
48,GER40_i,10550.6,10557.9,10513.4,10606.3,10559.849999999999,10559.199999999999,10558.875,10557.05,18534,2020-04-27 08:00:00
49,GER40_i,10557.7,10581.6,10536.0,10623.2,10579.6,10580.266666666668,10580.6,10574.625,15988,2020-04-27 12:00:00
50,GER40_i,10581.4,10640.1,10534.2,10659.1,10596.650000000001,10611.133333333333,10618.375,10603.7,20675,2020-04-27 16:00:00
51,GER40_i,10639.9,10684.6,10624.9,10697.8,10661.349999999999,10669.099999999999,10672.974999999999,10661.8,7806,2020-04-27 20:00:00
52,GER40_i,10673.6,10718.2,10643.5,10743.2,10693.35,10701.633333333333,10705.775000000001,10694.625,15067,2020-04-28 08:00:00
53,GER40_i,10718.2,10870.1,10713.7,10873.7,10793.7,10819.166666666666,10831.9,10793.925,21750,2020-04-28 12:00:00
54,GER40_i,10870.2,10764.9,10717.7,10894.9,10806.3,10792.5,10785.6,10811.925,29368,2020-04-28 16:00:00
55,GER40_i,10764.4,10767.2,10745.2,10789.9,10767.55,10767.433333333332,10767.375,10766.675,11472,2020-04-28 20:00:00
56,GER40_i,10804.7,10825.6,10782.2,10856.9,10819.55,10821.566666666666,10822.574999999999,10817.349999999999,18876,2020-04-29 08:00:00
57,GER40_i,10825.9,11021.6,10803.4,11031.2,10917.3,10952.066666666666,10969.449999999999,10920.525,21158,2020-04-29 12:00:00
58,GER40_i,11021.2,11125.6,10956.4,11139.7,11048.05,11073.9,11086.824999999999,11060.724999999999,30067,2020-04-29 16:00:00
59,GER40_i,11125.6,11145.7,11084.4,11147.2,11115.8,11125.766666666668,11130.75,11125.725,12186,2020-04-29 20:00:00
60,GER40_i,11224.7,11054.9,11051.9,11240.3,11146.099999999999,11115.699999999999,11100.5,11142.95,25502,2020-04-30 08:00:00
61,GER40_i,11055.7,10969.0,10952.2,11140.9,11046.55,11020.699999999999,11007.775,11029.45,32872,2020-04-30 12:00:00
62,GER40_i,10969.0,10792.5,10754.7,10975.2,10864.95,10840.800000000001,10828.725,10872.85,41778,2020-04-30 16:00:00
63,GER40_i,10792.2,10842.8,10767.3,10859.2,10813.25,10823.1,10828.025,10815.375,12248,2020-04-30 20:00:00
64,GER40_i,10504.0,10505.0,10491.0,10606.5,10548.75,10534.166666666666,10526.875,10526.625,24012,2020-05-04 08:00:00
65,GER40_i,10505.5,10469.4,10435.0,10535.7,10485.35,10480.033333333333,10477.375,10486.4,23666,2020-05-04 12:00:00
66,GER40_i,10469.5,10475.8,10425.0,10553.2,10489.1,10484.666666666666,10482.45,10480.875,31457,2020-05-04 16:00:00
67,GER40_i,10476.4,10549.2,10454.4,10551.4,10502.9,10518.333333333334,10526.05,10507.85,8498,2020-05-04 20:00:00
68,GER40_i,10612.9,10522.8,10514.3,10710.7,10612.5,10582.6,10567.65,10590.175,25551,2020-05-05 08:00:00
69,GER40_i,10523.5,10648.8,10517.8,10680.8,10599.3,10615.8,10624.05,10592.724999999999,28821,2020-05-05 12:00:00
70,GER40_i,10648.8,10687.5,10634.3,10746.8,10690.55,10689.533333333333,10689.025,10679.349999999999,24075,2020-05-05 16:00:00
71,GER40_i,10687.5,10654.0,10648.3,10720.0,10684.15,10674.1,10669.075,10677.45,8724,2020-05-05 20:00:00
72,GER40_i,10720.2,10718.6,10656.2,10747.8,10702.0,10707.533333333333,10710.3,10710.7,19611,2020-05-06 08:00:00
73,GER40_i,10718.9,10706.1,10665.9,10768.7,10717.3,10713.566666666666,10711.699999999999,10714.9,21018,2020-05-06 12:00:00
74,GER40_i,10706.6,10606.1,10569.0,10722.2,10645.6,10632.433333333334,10625.85,10650.975,28925,2020-05-06 16:00:00
75,GER40_i,10606.7,10591.2,10577.2,10617.2,10597.2,10595.2,10594.2,10598.075,11357,2020-05-06 20:00:00
76,GER40_i,10630.3,10684.4,10608.7,10708.9,10658.8,10667.333333333334,10671.6,10658.075,17687,2020-05-07 08:00:00
77,GER40_i,10685.4,10704.6,10668.4,10740.1,10704.25,10704.366666666667,10704.425,10699.625,19085,2020-05-07 12:00:00
78,GER40_i,10703.6,10747.2,10681.7,10796.4,10739.05,10741.766666666666,10743.125,10732.225,25809,2020-05-07 16:00:00
79,GER40_i,10747.6,10713.2,10693.1,10759.0,10726.05,10721.766666666666,10719.625,10728.225,9286,2020-05-07 20:00:00
80,GER40_i,10864.7,10845.8,10809.6,10892.8,10851.2,10849.4,10848.5,10853.225,13084,2020-05-08 08:00:00
81,GER40_i,10845.3,10880.6,10815.8,10912.3,10864.05,10869.566666666666,10872.324999999999,10863.5,17656,2020-05-08 12:00:00
82,GER40_i,10881.1,10897.8,10852.8,10913.6,10883.2,10888.066666666668,10890.5,10886.325,19750,2020-05-08 16:00:00
83,GER40_i,10898.1,10891.1,10865.8,10899.6,10882.7,10885.5,10886.9,10888.65,6683,2020-05-08 20:00:00
84,GER40_i,10956.3,10870.0,10846.3,10976.3,10911.3,10897.533333333333,10890.65,10912.224999999999,16041,2020-05-11 08:00:00
85,GER40_i,10870.0,10743.0,10729.8,10872.7,10801.25,10781.833333333334,10772.125,10803.875,23341,2020-05-11 12:00:00
86,GER40_i,10742.5,10868.8,10738.2,10874.7,10806.45,10827.233333333334,10837.625,10806.05,22586,2020-05-11 16:00:00
87,GER40_i,10868.0,10878.8,10852.8,10894.5,10873.65,10875.366666666667,10876.224999999999,10873.525,7197,2020-05-11 20:00:00
88,GER40_i,10767.6,10824.3,10762.6,10845.0,10803.8,10810.633333333333,10814.05,10799.875,15973,2020-05-12 08:00:00
89,GER40_i,10824.6,10852.8,10788.6,10879.5,10834.05,10840.3,10843.425,10836.375,18489,2020-05-12 12:00:00
90,GER40_i,10853.5,10816.0,10782.8,10864.3,10823.55,10821.033333333333,10819.775,10829.15,22679,2020-05-12 16:00:00
91,GER40_i,10815.3,10728.0,10726.8,10816.6,10771.7,10757.133333333333,10749.85,10771.675,10789,2020-05-12 20:00:00
92,GER40_i,10687.0,10615.7,10572.2,10699.0,10635.6,10628.966666666667,10625.650000000001,10643.475,17996,2020-05-13 08:00:00
