,LTCUSD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,LTCUSD_i,172.43,173.2,168.48,173.6,171.04,171.76,172.12,171.9275,145810,2021-03-25 16:00:00
1,LTCUSD_i,173.2,173.94,172.57,174.98,173.77499999999998,173.83,173.85750000000002,173.6725,72420,2021-03-25 20:00:00
2,LTCUSD_i,174.4,175.78,170.94,176.88,173.91,174.53333333333333,174.845,174.5,100230,2021-03-26 00:00:00
3,LTCUSD_i,175.78,175.56,172.44,176.27,174.35500000000002,174.75666666666666,174.95749999999998,175.0125,81750,2021-03-26 04:00:00
4,LTCUSD_i,175.56,176.09,173.72,177.21,175.465,175.67333333333332,175.7775,175.64499999999998,81400,2021-03-26 08:00:00
5,LTCUSD_i,176.09,179.93,174.78,181.39,178.08499999999998,178.69999999999996,179.0075,178.04749999999999,98570,2021-03-26 12:00:00
6,LTCUSD_i,179.93,180.73,178.19,181.44,179.815,180.12,180.2725,180.0725,83190,2021-03-26 16:00:00
7,LTCUSD_i,180.75,182.48,179.7,182.67,181.185,181.61666666666667,181.8325,181.4,52725,2021-03-26 20:00:00
8,LTCUSD_i,181.6,182.86,181.2,184.32,182.76,182.79333333333332,182.81,182.495,52860,2021-03-29 00:00:00
9,LTCUSD_i,182.86,193.24,182.19,193.58,187.885,189.67,190.5625,187.9675,109190,2021-03-29 04:00:00
10,LTCUSD_i,193.25,195.17,190.22,196.03,193.125,193.80666666666664,194.14749999999998,193.6675,92530,2021-03-29 08:00:00
11,LTCUSD_i,195.17,195.4,194.38,196.67,195.52499999999998,195.48333333333332,195.46249999999998,195.40499999999997,78390,2021-03-29 12:00:00
12,LTCUSD_i,195.4,195.09,191.99,195.85,193.92000000000002,194.31000000000003,194.50500000000002,194.5825,88330,2021-03-29 16:00:00
13,LTCUSD_i,195.09,193.93,193.5,197.29,195.39499999999998,194.90666666666667,194.66250000000002,194.95250000000001,68680,2021-03-29 20:00:00
14,LTCUSD_i,194.15,194.44,192.78,195.66,194.22,194.29333333333332,194.32999999999998,194.2575,42410,2021-03-30 00:00:00
15,LTCUSD_i,194.44,191.39,190.14,194.44,192.29,191.99,191.84,192.60250000000002,78690,2021-03-30 04:00:00
16,LTCUSD_i,191.39,192.83,190.19,193.24,191.715,192.08666666666667,192.2725,191.9125,69410,2021-03-30 08:00:00
17,LTCUSD_i,192.83,197.9,192.06,200.09,196.075,196.6833333333333,196.98749999999998,195.72,98070,2021-03-30 12:00:00
18,LTCUSD_i,197.88,196.59,195.45,198.78,197.115,196.94000000000003,196.85250000000002,197.175,80870,2021-03-30 16:00:00
19,LTCUSD_i,196.59,194.2,193.28,197.41,195.345,194.96333333333334,194.77249999999998,195.37,56980,2021-03-30 20:00:00
20,LTCUSD_i,195.22,197.59,193.82,197.59,195.70499999999998,196.33333333333334,196.6475,196.055,43380,2021-03-31 00:00:00
21,LTCUSD_i,197.59,193.14,191.44,197.6,194.51999999999998,194.05999999999997,193.82999999999998,194.9425,67010,2021-03-31 04:00:00
22,LTCUSD_i,193.14,190.51,186.94,198.81,192.875,192.08666666666667,191.6925,192.35,121690,2021-03-31 08:00:00
23,LTCUSD_i,190.51,190.97,187.69,191.3,189.495,189.98666666666668,190.23250000000002,190.1175,92530,2021-03-31 12:00:00
24,LTCUSD_i,190.97,191.63,190.71,194.41,192.56,192.25,192.095,191.93,78490,2021-03-31 16:00:00
25,LTCUSD_i,191.63,195.34,191.19,196.08,193.635,194.20333333333335,194.4875,193.56,97140,2021-03-31 20:00:00
26,LTCUSD_i,195.01,199.13,194.42,200.44,197.43,197.99666666666667,198.28,197.25,71890,2021-04-01 00:00:00
27,LTCUSD_i,199.13,195.85,194.74,199.67,197.20499999999998,196.75333333333333,196.5275,197.3475,61350,2021-04-01 04:00:00
28,LTCUSD_i,195.85,197.31,193.9,199.03,196.465,196.74666666666667,196.8875,196.5225,88030,2021-04-01 08:00:00
29,LTCUSD_i,197.31,195.51,193.94,198.71,196.325,196.0533333333333,195.9175,196.3675,82040,2021-04-01 12:00:00
30,LTCUSD_i,195.49,202.23,195.02,204.66,199.84,200.63666666666666,201.035,199.35,122140,2021-04-01 16:00:00
31,LTCUSD_i,202.23,200.84,195.69,202.66,199.175,199.73000000000002,200.00750000000002,200.35500000000002,110460,2021-04-01 20:00:00
32,LTCUSD_i,204.5,204.66,202.94,205.96,204.45,204.51999999999998,204.55499999999998,204.515,50395,2021-04-02 12:00:00
33,LTCUSD_i,204.66,208.43,201.03,211.51,206.26999999999998,206.99,207.35000000000002,206.4075,112940,2021-04-02 16:00:00
