,EURCAD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,EURCAD_i,1.57029,1.5695700000000001,1.56916,1.5720800000000001,1.5706200000000001,1.57027,1.5700950000000002,1.570275,19182,2020-12-21 16:00:00
1,EURCAD_i,1.56958,1.57375,1.56915,1.57426,1.5717050000000001,1.5723866666666666,1.5727275,1.571685,12044,2020-12-21 20:00:00
2,EURCAD_i,1.57356,1.57268,1.5712000000000002,1.57376,1.57248,1.5725466666666668,1.57258,1.5728,6992,2020-12-22 00:00:00
3,EURCAD_i,1.57268,1.57348,1.57184,1.57368,1.57276,1.5729999999999997,1.5731199999999999,1.5729199999999999,7365,2020-12-22 04:00:00
4,EURCAD_i,1.5734599999999999,1.57297,1.57092,1.57428,1.5726,1.5727233333333333,1.5727849999999999,1.5729075,13333,2020-12-22 08:00:00
5,EURCAD_i,1.57297,1.5770300000000002,1.57239,1.5771600000000001,1.574775,1.5755266666666667,1.5759025000000002,1.5748875,14681,2020-12-22 12:00:00
6,EURCAD_i,1.5770300000000002,1.5715400000000002,1.5710600000000001,1.57839,1.574725,1.5736633333333334,1.5731325000000003,1.5745050000000003,20299,2020-12-22 16:00:00
7,EURCAD_i,1.5715400000000002,1.56951,1.5682800000000001,1.572,1.57014,1.56993,1.569825,1.5703325000000001,10232,2020-12-22 20:00:00
8,EURCAD_i,1.5695000000000001,1.57084,1.56915,1.57096,1.570055,1.5703166666666668,1.5704475000000002,1.5701125,7743,2020-12-23 00:00:00
9,EURCAD_i,1.57084,1.57119,1.56911,1.57131,1.5702099999999999,1.5705366666666667,1.5707,1.5706125000000002,7820,2020-12-23 04:00:00
10,EURCAD_i,1.5712000000000002,1.56975,1.56856,1.57177,1.5701649999999998,1.5700266666666665,1.5699575,1.57032,11655,2020-12-23 08:00:00
11,EURCAD_i,1.56979,1.5683500000000001,1.56631,1.57037,1.56834,1.5683433333333336,1.5683450000000003,1.5687050000000002,12786,2020-12-23 12:00:00
12,EURCAD_i,1.5683799999999999,1.5646200000000001,1.56447,1.57089,1.56768,1.56666,1.56615,1.5670899999999999,17393,2020-12-23 16:00:00
13,EURCAD_i,1.56457,1.56498,1.5641500000000002,1.56721,1.56568,1.5654466666666667,1.56533,1.5652275,10524,2020-12-23 20:00:00
14,EURCAD_i,1.56497,1.56723,1.56481,1.56769,1.5662500000000001,1.566576666666667,1.5667400000000002,1.566175,6037,2020-12-24 00:00:00
15,EURCAD_i,1.5672199999999998,1.5680100000000001,1.5670600000000001,1.56848,1.56777,1.56785,1.56789,1.5676925,5909,2020-12-24 04:00:00
16,EURCAD_i,1.56802,1.56501,1.56482,1.56843,1.5666250000000002,1.5660866666666668,1.5658175,1.56657,8174,2020-12-24 08:00:00
17,EURCAD_i,1.56497,1.56467,1.56403,1.5667200000000001,1.565375,1.5651400000000002,1.5650225,1.5650975,7819,2020-12-24 12:00:00
18,EURCAD_i,1.5646200000000001,1.56086,1.56074,1.56558,1.5631599999999999,1.5623933333333333,1.56201,1.5629499999999998,10186,2020-12-24 16:00:00
19,EURCAD_i,1.56087,1.56444,1.56071,1.56456,1.562635,1.5632366666666666,1.5635375,1.5626449999999998,1388,2020-12-24 20:00:00
20,EURCAD_i,1.5655700000000001,1.56766,1.5649199999999999,1.5679699999999999,1.5664449999999999,1.5668499999999999,1.5670525,1.56653,8952,2020-12-28 00:00:00
21,EURCAD_i,1.56766,1.5692599999999999,1.56758,1.5697100000000002,1.568645,1.56885,1.5689525,1.5685525,6231,2020-12-28 04:00:00
22,EURCAD_i,1.5692599999999999,1.56968,1.56745,1.56993,1.5686900000000001,1.56902,1.569185,1.56908,8759,2020-12-28 08:00:00
23,EURCAD_i,1.5695999999999999,1.56689,1.5660699999999999,1.5701,1.568085,1.5676866666666667,1.5674875,1.568165,14587,2020-12-28 12:00:00
24,EURCAD_i,1.56698,1.56992,1.56637,1.5729600000000001,1.569665,1.56975,1.5697925,1.5690575,14043,2020-12-28 16:00:00
25,EURCAD_i,1.56992,1.56981,1.5672700000000002,1.5705900000000002,1.5689300000000002,1.5692233333333334,1.5693700000000002,1.5693975,6025,2020-12-28 20:00:00
26,EURCAD_i,1.5698400000000001,1.56906,1.56765,1.57038,1.569015,1.56903,1.5690374999999999,1.5692325,5481,2020-12-29 00:00:00
27,EURCAD_i,1.56906,1.5689600000000001,1.56894,1.57012,1.5695299999999999,1.5693399999999997,1.569245,1.56927,6613,2020-12-29 04:00:00
28,EURCAD_i,1.5689600000000001,1.56975,1.56879,1.5706,1.5696949999999998,1.5697133333333333,1.5697225,1.569525,9256,2020-12-29 08:00:00
29,EURCAD_i,1.56967,1.56811,1.56725,1.57152,1.569385,1.56896,1.5687475,1.5691375,10610,2020-12-29 12:00:00
30,EURCAD_i,1.56811,1.56874,1.5658699999999999,1.5706099999999998,1.5682399999999999,1.5684066666666665,1.56849,1.5683325,14828,2020-12-29 16:00:00
31,EURCAD_i,1.56871,1.56948,1.5681,1.57046,1.56928,1.569346666666667,1.5693800000000002,1.5691875000000002,10136,2020-12-29 20:00:00
32,EURCAD_i,1.56948,1.5729899999999999,1.5689899999999999,1.5737100000000002,1.57135,1.5718966666666667,1.57217,1.5712925000000002,7342,2020-12-30 00:00:00
33,EURCAD_i,1.573,1.57111,1.57051,1.57307,1.57179,1.5715633333333334,1.57145,1.5719225,5447,2020-12-30 04:00:00
34,EURCAD_i,1.57108,1.57008,1.56759,1.57141,1.5695000000000001,1.5696933333333334,1.56979,1.57004,10200,2020-12-30 08:00:00
35,EURCAD_i,1.5700699999999999,1.5719400000000001,1.5665499999999999,1.57196,1.569255,1.57015,1.5705974999999999,1.5701299999999998,11935,2020-12-30 12:00:00
36,EURCAD_i,1.57191,1.56834,1.56603,1.57352,1.569775,1.5692966666666666,1.5690575,1.56995,18277,2020-12-30 16:00:00
37,EURCAD_i,1.56833,1.56796,1.56746,1.56918,1.56832,1.5682,1.56814,1.5682325000000001,9052,2020-12-30 20:00:00
38,EURCAD_i,1.56823,1.5676700000000001,1.56714,1.5689,1.56802,1.5679033333333334,1.5678450000000002,1.567985,4482,2020-12-31 00:00:00
39,EURCAD_i,1.56768,1.56574,1.56562,1.56776,1.56669,1.5663733333333332,1.566215,1.5667,5674,2020-12-31 04:00:00
40,EURCAD_i,1.56574,1.56522,1.56486,1.56827,1.566565,1.5661166666666666,1.5658925,1.5660224999999999,11090,2020-12-31 08:00:00
41,EURCAD_i,1.5652,1.56425,1.56155,1.5664099999999999,1.56398,1.5640699999999998,1.5641149999999997,1.5643524999999998,12081,2020-12-31 12:00:00
42,EURCAD_i,1.5642800000000001,1.56061,1.55655,1.56437,1.56046,1.56051,1.5605350000000002,1.5614525000000001,16962,2020-12-31 16:00:00
43,EURCAD_i,1.56066,1.5583900000000002,1.5582500000000001,1.56066,1.559455,1.5591000000000002,1.5589225000000002,1.5594900000000003,2159,2020-12-31 20:00:00
44,EURCAD_i,1.55743,1.5567199999999999,1.55551,1.55905,1.55728,1.5570933333333332,1.557,1.5571774999999999,9179,2021-01-04 00:00:00
45,EURCAD_i,1.5567199999999999,1.55701,1.55506,1.55731,1.5561850000000002,1.5564600000000002,1.5565975,1.5565250000000002,8092,2021-01-04 04:00:00
46,EURCAD_i,1.55701,1.55795,1.55571,1.55953,1.55762,1.55773,1.557785,1.55755,14006,2021-01-04 08:00:00
47,EURCAD_i,1.55795,1.5617299999999998,1.55684,1.56287,1.559855,1.56048,1.5607925,1.5598475,16346,2021-01-04 12:00:00
