,FTSE100_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,FTSE100_i,6433.0,6440.0,6429.0,6480.5,6454.75,6449.833333333333,6447.375,6445.625,8639,2020-12-03 08:00:00
1,FTSE100_i,6440.0,6467.5,6440.0,6487.5,6463.75,6465.0,6465.625,6458.75,7295,2020-12-03 12:00:00
2,FTSE100_i,6467.0,6488.5,6451.5,6495.0,6473.25,6478.333333333333,6480.875,6475.5,8270,2020-12-03 16:00:00
3,FTSE100_i,6488.0,6484.5,6471.0,6511.0,6491.0,6488.833333333333,6487.75,6488.625,4325,2020-12-03 20:00:00
4,FTSE100_i,6482.3,6497.5,6475.5,6507.0,6491.25,6493.333333333333,6494.375,6490.575,3369,2020-12-04 00:00:00
5,FTSE100_i,6497.5,6522.0,6495.5,6524.5,6510.0,6514.0,6516.0,6509.875,2778,2020-12-04 04:00:00
6,FTSE100_i,6522.0,6538.0,6503.0,6549.5,6526.25,6530.166666666667,6532.125,6528.125,9365,2020-12-04 08:00:00
7,FTSE100_i,6538.0,6522.0,6522.0,6558.0,6540.0,6534.0,6531.0,6535.0,7530,2020-12-04 12:00:00
8,FTSE100_i,6522.0,6548.5,6522.0,6559.5,6540.75,6543.333333333333,6544.625,6538.0,7280,2020-12-04 16:00:00
9,FTSE100_i,6548.5,6561.5,6545.5,6568.5,6557.0,6558.5,6559.25,6556.0,3775,2020-12-04 20:00:00
10,FTSE100_i,6569.8,6550.0,6543.5,6571.8,6557.65,6555.099999999999,6553.825,6558.775,4274,2020-12-07 00:00:00
11,FTSE100_i,6550.5,6552.5,6538.0,6557.5,6547.75,6549.333333333333,6550.125,6549.625,3337,2020-12-07 04:00:00
12,FTSE100_i,6552.0,6572.5,6519.5,6580.0,6549.75,6557.333333333333,6561.125,6556.0,9501,2020-12-07 08:00:00
13,FTSE100_i,6572.5,6551.5,6550.5,6601.5,6576.0,6567.833333333333,6563.75,6569.0,7160,2020-12-07 12:00:00
14,FTSE100_i,6551.5,6556.5,6538.5,6567.0,6552.75,6554.0,6554.625,6553.375,7722,2020-12-07 16:00:00
15,FTSE100_i,6556.5,6529.5,6520.0,6566.5,6543.25,6538.666666666667,6536.375,6543.125,5340,2020-12-07 20:00:00
16,FTSE100_i,6523.0,6533.7,6514.0,6549.7,6531.85,6532.466666666667,6532.775000000001,6530.1,2742,2020-12-08 00:00:00
17,FTSE100_i,6534.2,6541.2,6532.7,6545.2,6538.95,6539.7,6540.075,6538.325,2287,2020-12-08 04:00:00
18,FTSE100_i,6541.2,6537.9,6518.7,6558.4,6538.549999999999,6538.333333333333,6538.225,6539.05,7842,2020-12-08 08:00:00
19,FTSE100_i,6537.9,6531.5,6520.0,6547.0,6533.5,6532.833333333333,6532.5,6534.1,7480,2020-12-08 12:00:00
20,FTSE100_i,6531.9,6566.0,6520.9,6573.5,6547.2,6553.466666666667,6556.6,6548.075000000001,7864,2020-12-08 16:00:00
21,FTSE100_i,6566.0,6573.4,6562.9,6577.0,6569.95,6571.099999999999,6571.674999999999,6569.825,3450,2020-12-08 20:00:00
22,FTSE100_i,6569.7,6568.9,6564.7,6588.4,6576.549999999999,6574.0,6572.725,6572.925,3006,2020-12-09 00:00:00
23,FTSE100_i,6568.9,6598.9,6568.9,6598.9,6583.9,6588.899999999999,6591.4,6583.9,1751,2020-12-09 04:00:00
24,FTSE100_i,6597.9,6597.4,6575.9,6626.9,6601.4,6600.066666666666,6599.4,6599.525,9102,2020-12-09 08:00:00
25,FTSE100_i,6596.9,6590.5,6570.9,6602.9,6586.9,6588.099999999999,6588.7,6590.299999999999,6166,2020-12-09 12:00:00
26,FTSE100_i,6590.5,6573.5,6564.9,6594.0,6579.45,6577.466666666667,6576.475,6580.725,8525,2020-12-09 16:00:00
27,FTSE100_i,6573.5,6580.4,6541.4,6582.5,6561.95,6568.099999999999,6571.174999999999,6569.45,7342,2020-12-09 20:00:00
28,FTSE100_i,6573.0,6568.2,6563.7,6580.2,6571.95,6570.7,6570.075,6571.275,2919,2020-12-10 00:00:00
29,FTSE100_i,6568.2,6570.2,6564.2,6578.2,6571.2,6570.866666666666,6570.7,6570.2,2240,2020-12-10 04:00:00
30,FTSE100_i,6570.2,6597.2,6562.2,6611.2,6586.7,6590.2,6591.95,6585.2,7931,2020-12-10 08:00:00
31,FTSE100_i,6597.2,6580.3,6568.7,6635.2,6601.95,6594.733333333334,6591.125,6595.35,9237,2020-12-10 12:00:00
32,FTSE100_i,6580.8,6590.7,6562.2,6643.3,6602.75,6598.733333333334,6596.725,6594.25,11136,2020-12-10 16:00:00
33,FTSE100_i,6591.2,6602.2,6589.2,6615.2,6602.2,6602.2,6602.2,6599.45,4390,2020-12-10 20:00:00
34,FTSE100_i,6609.0,6612.7,6595.0,6614.7,6604.85,6607.466666666667,6608.775000000001,6607.85,2880,2020-12-11 00:00:00
