,AUDJPY_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,AUDJPY_i,77.86,78.324,77.853,78.376,78.11449999999999,78.18433333333333,78.21925,78.10325,14613,2020-12-21 16:00:00
1,AUDJPY_i,78.325,78.336,78.295,78.509,78.402,78.38,78.369,78.36625,7557,2020-12-21 20:00:00
2,AUDJPY_i,78.337,78.277,78.158,78.403,78.2805,78.27933333333334,78.27875,78.29375,6617,2020-12-22 00:00:00
3,AUDJPY_i,78.277,78.195,78.106,78.313,78.20949999999999,78.20466666666665,78.20224999999999,78.22274999999999,6314,2020-12-22 04:00:00
4,AUDJPY_i,78.196,77.84,77.834,78.255,78.0445,77.97633333333333,77.94225,78.03125,9430,2020-12-22 08:00:00
5,AUDJPY_i,77.843,78.134,77.842,78.199,78.0205,78.05833333333334,78.07725,78.00450000000001,8900,2020-12-22 12:00:00
6,AUDJPY_i,78.136,78.045,77.929,78.191,78.06,78.055,78.05250000000001,78.07525000000001,12795,2020-12-22 16:00:00
7,AUDJPY_i,78.046,77.933,77.923,78.082,78.0025,77.97933333333333,77.96775,77.996,5894,2020-12-22 20:00:00
8,AUDJPY_i,77.925,78.057,77.881,78.187,78.03399999999999,78.04166666666667,78.0455,78.0125,7815,2020-12-23 00:00:00
9,AUDJPY_i,78.057,78.066,78.003,78.161,78.082,78.07666666666667,78.074,78.07175,4820,2020-12-23 04:00:00
10,AUDJPY_i,78.066,78.26,78.061,78.317,78.189,78.21266666666666,78.22449999999999,78.17599999999999,7648,2020-12-23 08:00:00
11,AUDJPY_i,78.263,78.268,78.099,78.308,78.2035,78.22500000000001,78.23575,78.2345,7431,2020-12-23 12:00:00
12,AUDJPY_i,78.265,78.45,78.263,78.567,78.41499999999999,78.42666666666666,78.43249999999999,78.38624999999999,11836,2020-12-23 16:00:00
13,AUDJPY_i,78.45,78.397,78.397,78.552,78.4745,78.44866666666667,78.43575,78.449,5005,2020-12-23 20:00:00
14,AUDJPY_i,78.414,78.572,78.334,78.646,78.49000000000001,78.51733333333334,78.531,78.4915,5430,2020-12-24 00:00:00
15,AUDJPY_i,78.572,78.539,78.472,78.617,78.5445,78.54266666666666,78.54175,78.55,5064,2020-12-24 04:00:00
16,AUDJPY_i,78.543,78.7,78.543,78.755,78.649,78.666,78.6745,78.63525,6335,2020-12-24 08:00:00
17,AUDJPY_i,78.701,78.778,78.654,78.813,78.73349999999999,78.74833333333333,78.75575,78.7365,5233,2020-12-24 12:00:00
18,AUDJPY_i,78.777,78.78,78.678,78.828,78.753,78.762,78.76650000000001,78.76575,5441,2020-12-24 16:00:00
19,AUDJPY_i,78.778,78.702,78.658,78.812,78.735,78.724,78.7185,78.7375,1211,2020-12-24 20:00:00
20,AUDJPY_i,78.663,78.732,78.555,78.828,78.6915,78.705,78.71175,78.6945,6697,2020-12-28 00:00:00
21,AUDJPY_i,78.732,78.755,78.707,78.866,78.78649999999999,78.776,78.77074999999999,78.76499999999999,4787,2020-12-28 04:00:00
