,GBPSGD_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,GBPSGD_i,1.77787,1.77797,1.77231,1.77929,1.7758,1.7765233333333335,1.776885,1.77686,17809,2020-12-21 16:00:00
1,GBPSGD_i,1.77796,1.79251,1.77787,1.7959100000000001,1.78689,1.7887633333333335,1.7897,1.7860625,12536,2020-12-21 20:00:00
2,GBPSGD_i,1.78982,1.7855400000000001,1.78515,1.7922099999999999,1.7886799999999998,1.7876333333333332,1.78711,1.7881799999999999,6888,2020-12-22 00:00:00
3,GBPSGD_i,1.7855400000000001,1.78884,1.7855400000000001,1.79005,1.787795,1.7881433333333334,1.7883175000000002,1.7874925000000002,9127,2020-12-22 04:00:00
4,GBPSGD_i,1.78884,1.79025,1.78789,1.79494,1.791415,1.7910266666666665,1.7908325,1.79048,17899,2020-12-22 08:00:00
5,GBPSGD_i,1.79025,1.7867199999999999,1.78366,1.7926199999999999,1.7881399999999998,1.7876666666666665,1.7874299999999999,1.7883125,16780,2020-12-22 12:00:00
6,GBPSGD_i,1.7867199999999999,1.78334,1.77614,1.78772,1.78193,1.7824,1.782635,1.78348,19577,2020-12-22 16:00:00
7,GBPSGD_i,1.78334,1.78372,1.78139,1.78664,1.7840150000000001,1.7839166666666666,1.7838675,1.7837725,6359,2020-12-22 20:00:00
8,GBPSGD_i,1.78102,1.78667,1.77896,1.7873999999999999,1.78318,1.7843433333333334,1.784925,1.7835125,6911,2020-12-23 00:00:00
9,GBPSGD_i,1.7866300000000002,1.78698,1.7860399999999998,1.78956,1.7877999999999998,1.7875266666666665,1.7873899999999998,1.7873025,8799,2020-12-23 04:00:00
10,GBPSGD_i,1.78696,1.78695,1.78624,1.79152,1.78888,1.788236666666667,1.7879150000000001,1.7879175000000003,11353,2020-12-23 08:00:00
11,GBPSGD_i,1.78702,1.79382,1.7863099999999998,1.7951899999999998,1.7907499999999998,1.7917733333333332,1.792285,1.7905849999999999,13289,2020-12-23 12:00:00
12,GBPSGD_i,1.7938,1.7947899999999999,1.7923900000000001,1.80565,1.79902,1.79761,1.796905,1.7966575,24054,2020-12-23 16:00:00
13,GBPSGD_i,1.79482,1.79272,1.7922,1.79927,1.795735,1.7947300000000002,1.7942275,1.7947525,8127,2020-12-23 20:00:00
14,GBPSGD_i,1.78932,1.7993700000000001,1.78902,1.80125,1.7951350000000001,1.7965466666666667,1.7972525,1.79474,6076,2020-12-24 00:00:00
15,GBPSGD_i,1.7993700000000001,1.80105,1.7984499999999999,1.8026,1.800525,1.8007,1.8007875,1.8003675000000001,8484,2020-12-24 04:00:00
16,GBPSGD_i,1.80105,1.80531,1.79817,1.80626,1.802215,1.8032466666666664,1.8037625,1.8026974999999998,8998,2020-12-24 08:00:00
17,GBPSGD_i,1.80525,1.80374,1.79905,1.80732,1.803185,1.80337,1.8034624999999997,1.8038399999999999,8956,2020-12-24 12:00:00
18,GBPSGD_i,1.80361,1.79721,1.79554,1.8072300000000001,1.801385,1.7999933333333333,1.7992975,1.8008975,11208,2020-12-24 16:00:00
