,NZDCHF_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
0,NZDCHF_i,0.62396,0.62781,0.62384,0.62819,0.626015,0.6266133333333334,0.6269125,0.62595,9012,2020-12-21 16:00:00
1,NZDCHF_i,0.62766,0.62839,0.62765,0.62911,0.6283799999999999,0.6283833333333333,0.628385,0.6282025,4388,2020-12-21 20:00:00
2,NZDCHF_i,0.62813,0.62724,0.62702,0.62943,0.628225,0.6278966666666667,0.6277325,0.627955,2987,2020-12-22 00:00:00
3,NZDCHF_i,0.6272,0.6259,0.6251,0.62732,0.6262099999999999,0.6261066666666667,0.626055,0.6263799999999999,3154,2020-12-22 04:00:00
4,NZDCHF_i,0.6259,0.62429,0.62422,0.6279,0.6260600000000001,0.6254700000000001,0.625175,0.6255775,6428,2020-12-22 08:00:00
5,NZDCHF_i,0.6243,0.62516,0.62384,0.62669,0.625265,0.6252300000000001,0.6252125000000001,0.6249975,6507,2020-12-22 12:00:00
6,NZDCHF_i,0.62518,0.62572,0.62417,0.62606,0.625115,0.6253166666666666,0.6254175,0.6252825,8488,2020-12-22 16:00:00
7,NZDCHF_i,0.6256,0.62586,0.62526,0.6268,0.6260300000000001,0.6259733333333334,0.625945,0.62588,3223,2020-12-22 20:00:00
8,NZDCHF_i,0.62613,0.6256,0.62484,0.62621,0.625525,0.62555,0.6255625,0.625695,3960,2020-12-23 00:00:00
9,NZDCHF_i,0.62558,0.62572,0.62506,0.62619,0.625625,0.6256566666666666,0.6256725000000001,0.6256375000000001,3243,2020-12-23 04:00:00
10,NZDCHF_i,0.6257,0.62941,0.62564,0.62999,0.627815,0.6283466666666667,0.6286125,0.627685,4960,2020-12-23 08:00:00
11,NZDCHF_i,0.62943,0.62949,0.62854,0.63067,0.629605,0.6295666666666667,0.6295475,0.6295325,6012,2020-12-23 12:00:00
12,NZDCHF_i,0.62943,0.62955,0.62921,0.63119,0.6302000000000001,0.6299833333333335,0.6298750000000001,0.6298450000000001,8418,2020-12-23 16:00:00
13,NZDCHF_i,0.62955,0.62962,0.62938,0.63078,0.63008,0.6299266666666666,0.62985,0.6298325,3116,2020-12-23 20:00:00
14,NZDCHF_i,0.62938,0.62975,0.62924,0.63013,0.629685,0.6297066666666667,0.6297175,0.6296250000000001,2690,2020-12-24 00:00:00
15,NZDCHF_i,0.62975,0.62948,0.62909,0.63005,0.62957,0.62954,0.629525,0.6295925,3144,2020-12-24 04:00:00
16,NZDCHF_i,0.62948,0.63145,0.62943,0.63152,0.630475,0.6307999999999999,0.6309625,0.63047,4316,2020-12-24 08:00:00
17,NZDCHF_i,0.63146,0.63259,0.6308,0.63263,0.631715,0.6320066666666667,0.6321525,0.63187,4185,2020-12-24 12:00:00
18,NZDCHF_i,0.63257,0.63402,0.63218,0.63422,0.6332,0.6334733333333333,0.63361,0.6332475,4741,2020-12-24 16:00:00
19,NZDCHF_i,0.63387,0.63246,0.63046,0.63408,0.63227,0.6323333333333333,0.6323650000000001,0.6327175,934,2020-12-24 20:00:00
20,NZDCHF_i,0.63181,0.63326,0.63118,0.63343,0.632305,0.6326233333333334,0.6327825,0.63242,3994,2020-12-28 00:00:00
21,NZDCHF_i,0.63326,0.63365,0.63323,0.63419,0.63371,0.63369,0.63368,0.6335825,2739,2020-12-28 04:00:00
22,NZDCHF_i,0.63365,0.63358,0.63347,0.63477,0.63412,0.6339400000000001,0.63385,0.6338675,4041,2020-12-28 08:00:00
23,NZDCHF_i,0.63361,0.63181,0.63119,0.63383,0.63251,0.6322766666666667,0.63216,0.63261,5813,2020-12-28 12:00:00
24,NZDCHF_i,0.63178,0.63122,0.63006,0.63203,0.631045,0.6311033333333333,0.6311325,0.6312725,6025,2020-12-28 16:00:00
25,NZDCHF_i,0.63107,0.63061,0.63061,0.63159,0.6311,0.6309366666666666,0.6308549999999999,0.63097,2856,2020-12-28 20:00:00
26,NZDCHF_i,0.63071,0.63186,0.63019,0.63199,0.63109,0.6313466666666666,0.631475,0.6311875,3404,2020-12-29 00:00:00
27,NZDCHF_i,0.63186,0.63153,0.63085,0.63186,0.631355,0.6314133333333333,0.6314425,0.631525,3108,2020-12-29 04:00:00
28,NZDCHF_i,0.63153,0.63128,0.63048,0.63209,0.6312850000000001,0.6312833333333333,0.6312825,0.631345,4311,2020-12-29 08:00:00
29,NZDCHF_i,0.63131,0.63315,0.63084,0.63316,0.6319999999999999,0.6323833333333333,0.632575,0.632115,4975,2020-12-29 12:00:00
30,NZDCHF_i,0.63314,0.63242,0.63162,0.63396,0.63279,0.6326666666666666,0.632605,0.6327849999999999,7512,2020-12-29 16:00:00
31,NZDCHF_i,0.63232,0.63129,0.63094,0.63261,0.631775,0.6316133333333332,0.6315324999999999,0.63179,1418,2020-12-29 20:00:00
32,NZDCHF_i,0.63142,0.63266,0.62967,0.63297,0.63132,0.6317666666666667,0.63199,0.63168,3500,2020-12-30 00:00:00
33,NZDCHF_i,0.63267,0.63322,0.63251,0.63372,0.633115,0.63315,0.6331675,0.63303,3197,2020-12-30 04:00:00
34,NZDCHF_i,0.63323,0.63496,0.63285,0.63548,0.6341650000000001,0.63443,0.6345625,0.6341300000000001,4894,2020-12-30 08:00:00
35,NZDCHF_i,0.63496,0.63491,0.63438,0.6366,0.6354900000000001,0.6352966666666667,0.6352000000000001,0.6352125000000001,5596,2020-12-30 12:00:00
36,NZDCHF_i,0.63494,0.63607,0.63378,0.63652,0.63515,0.6354566666666667,0.63561,0.6353274999999999,7908,2020-12-30 16:00:00
37,NZDCHF_i,0.63599,0.63452,0.63444,0.63635,0.6353949999999999,0.6351033333333332,0.6349575,0.6353249999999999,2620,2020-12-30 20:00:00
38,NZDCHF_i,0.63428,0.63661,0.63403,0.637,0.635515,0.6358800000000001,0.6360625000000001,0.63548,2969,2020-12-31 00:00:00
39,NZDCHF_i,0.63661,0.63665,0.63556,0.63689,0.636225,0.6363666666666666,0.6364375,0.6364275,3222,2020-12-31 04:00:00
40,NZDCHF_i,0.63663,0.63595,0.63521,0.63692,0.6360650000000001,0.6360266666666667,0.6360075000000001,0.6361775000000001,4920,2020-12-31 08:00:00
