,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
29,HLC/3,432,1444,7,macdh,85,40,6,29,0.79,1470,680,32,202,351,48,32,402,162,189,134,74,111,895,811,484,358,351,227,354,221,34,65,267,783,524,147,540,667,364,230,1260,1812,4,570,35,49,113,33,451,12,39,0.93,0.91,13,46,0.92,0.92,0.85,0.97,True,True,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,-1,True,False
30,HLCC/4,71,607,15,macdh,14,150,6,27,0.78,657,891,171,186,352,108,186,562,147,88,778,32,149,644,839,423,229,148,790,748,321,280,73,801,588,593,444,73,466,503,169,861,2112,49,188,35,58,98,8,346,32,43,0.39,0.55,48,19,0.91,0.97,0.83,0.89,True,True,True,True,True,False,True,False,True,True,True,False,False,False,True,True,False,-1,True,False
31,HLCC/4,436,1228,17,macdh,170,79,6,22,0.27,1896,311,209,63,338,199,138,979,231,70,5,165,156,899,746,157,314,6,902,376,209,37,405,339,92,610,327,382,480,869,48,283,1174,31,9,11,43,154,48,124,28,29,0.65,0.09,33,24,0.96,0.94,0.87,0.89,False,True,False,False,False,False,True,True,True,False,True,True,False,True,False,False,True,-1,True,False
32,high,64,1050,48,macds,42,68,6,18,0.33,1773,248,82,91,515,216,229,104,9,76,973,56,100,726,991,620,330,219,231,937,279,104,495,346,788,42,651,40,246,254,74,269,2258,20,707,34,100,203,38,917,38,13,0.49,0.38,13,11,0.86,0.93,0.96,0.83,False,True,True,False,True,False,False,True,True,False,True,False,True,True,True,False,False,-1,True,False
33,low,11,154,7,macds,167,197,6,49,0.86,2264,568,76,7,351,97,156,910,145,119,584,221,105,749,989,479,301,74,139,967,213,55,593,416,115,663,900,474,199,635,65,1371,2111,40,26,2,80,150,10,122,7,41,0.37,0.31,4,32,0.98,0.87,0.85,0.85,True,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,True,-1,True,False
34,open,322,877,28,macd,137,67,6,13,0.6,708,481,76,220,907,15,216,234,241,5,912,6,27,803,94,345,330,170,204,932,198,27,584,404,302,162,602,723,827,433,27,610,783,43,849,21,98,191,9,681,46,27,0.54,0.49,5,43,0.94,0.9,0.95,0.89,True,True,False,True,False,True,True,False,True,True,False,True,True,False,True,False,False,-1,True,False
35,HL/2,761,1209,4,macd,205,27,6,7,0.14,2924,764,40,177,213,130,17,888,116,190,859,202,58,638,987,377,76,63,810,300,442,271,434,128,783,711,552,337,516,531,304,852,545,36,288,283,463,31,48,302,41,32,0.97,0.77,50,27,0.95,0.85,0.85,0.95,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,-1,True,False
36,HLCC/4,120,812,17,macdh,7,109,6,24,0.41,2082,971,230,75,449,158,53,737,114,212,866,160,122,505,672,480,111,10,208,38,372,18,23,517,512,86,213,819,713,785,128,961,2197,26,179,401,1128,161,29,526,17,26,0.91,0.6,44,22,0.83,0.92,0.86,0.94,False,True,True,True,False,True,True,False,True,True,False,True,False,True,True,False,False,-1,True,False
37,high,420,1089,28,macds,122,239,6,21,0.15,284,616,200,94,458,235,80,103,148,109,69,13,30,921,676,551,486,273,989,751,306,215,859,437,63,424,987,599,875,245,204,799,1726,14,910,33,63,51,35,790,17,29,0.63,0.49,3,5,0.92,0.99,0.94,0.91,False,False,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,-1,True,False
38,HLC/3,637,1266,42,macd,9,141,6,27,0.85,2123,548,235,215,313,43,190,872,222,234,556,42,26,853,900,310,190,26,883,599,253,245,299,39,85,882,334,48,35,728,388,787,979,20,2,404,826,172,22,113,35,5,0.27,0.69,4,6,0.99,0.87,0.85,0.91,False,True,False,True,False,False,False,False,True,False,True,True,False,True,False,True,True,-1,True,False
